TEAM_ABBREVIATION,GAME_ID,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
CLE,0021800332,CLE vs. TOR,L,240,95,34,88,0.386,5,22.0,0.227,22,25,0.88,11.0,33.0,44.0,14,6.0,0,11,23,-11.0
CLE,0021800319,CLE @ BOS,L,239,95,30,77,0.39,7,22.0,0.318,28,35,0.8,9.0,27.0,36.0,18,5.0,1,13,21,-33.0
CLE,0021800313,CLE @ OKC,L,241,83,35,89,0.393,9,23.0,0.391,4,9,0.444,7.0,36.0,43.0,20,4.0,1,12,19,-17.0
CLE,0021800295,CLE vs. MIN,L,240,95,36,86,0.419,10,31.0,0.323,13,14,0.929,9.0,31.0,40.0,24,4.0,3,16,18,-7.0
CLE,0021800279,CLE vs. HOU,W,239,117,44,90,0.489,7,22.0,0.318,22,29,0.759,20.0,29.0,49.0,15,11.0,2,13,24,9.0
CLE,0021800270,CLE @ PHI,W,241,121,49,93,0.527,11,22.0,0.5,12,16,0.75,14.0,28.0,42.0,16,7.0,1,8,25,9.0
CLE,0021800256,CLE vs. LAL,L,241,105,39,102,0.382,13,34.0,0.382,14,15,0.933,15.0,31.0,46.0,18,3.0,2,3,22,-4.0
CLE,0021800240,CLE @ DET,L,240,102,35,79,0.443,8,21.0,0.381,24,34,0.706,11.0,25.0,36.0,16,8.0,3,9,22,-11.0
CLE,0021800203,CLE @ WAS,L,240,95,35,77,0.455,4,21.0,0.19,21,31,0.677,9.0,33.0,42.0,22,12.0,6,23,24,-24.0
CLE,0021800199,CLE vs. CHA,W,241,113,45,85,0.529,13,24.0,0.542,10,12,0.833,14.0,46.0,60.0,23,5.0,3,19,20,24.0
CLE,0021800178,CLE @ CHI,L,241,98,39,91,0.429,8,21.0,0.381,12,18,0.667,15.0,38.0,53.0,15,5.0,6,12,17,-1.0
CLE,0021800153,CLE vs. OKC,L,240,86,33,89,0.371,9,31.0,0.29,11,13,0.846,12.0,39.0,51.0,17,3.0,4,19,26,-9.0
CLE,0021800142,CLE @ ORL,L,240,100,41,80,0.513,10,23.0,0.435,8,12,0.667,8.0,34.0,42.0,20,8.0,2,18,17,-2.0
CLE,0021800126,CLE @ CHA,L,237,94,35,81,0.432,10,26.0,0.385,14,15,0.933,3.0,23.0,26.0,22,10.0,2,13,20,-32.0
CLE,0021800112,CLE vs. DEN,L,242,91,34,83,0.41,5,18.0,0.278,18,19,0.947,13.0,22.0,35.0,18,11.0,4,13,22,-19.0
CLE,0021800097,CLE vs. ATL,W,240,136,45,90,0.5,13,25.0,0.52,33,43,0.767,13.0,35.0,48.0,23,13.0,1,13,20,22.0
CLE,0021800077,CLE vs. IND,L,240,107,40,86,0.465,7,25.0,0.28,20,22,0.909,16.0,23.0,39.0,21,9.0,2,15,20,-12.0
CLE,0021800063,CLE @ DET,L,241,103,41,89,0.461,8,24.0,0.333,13,15,0.867,7.0,23.0,30.0,18,11.0,1,9,25,-7.0
CLE,0021800053,CLE vs. BKN,L,241,86,34,89,0.382,3,18.0,0.167,15,16,0.938,16.0,37.0,53.0,18,5.0,2,15,19,-16.0
CLE,0021800036,CLE vs. ATL,L,240,111,46,99,0.465,10,27.0,0.37,9,14,0.643,15.0,34.0,49.0,23,5.0,2,18,25,-22.0
CLE,0021800021,CLE @ MIN,L,240,123,45,93,0.484,8,23.0,0.348,25,29,0.862,13.0,30.0,43.0,26,5.0,2,14,24,-8.0
