Team1,Team1Score,Team2,Team2Score
Utah Jazz,120,Denver Nuggets,103
San Antonio Spurs,91,Los Angeles Clippers,106
Miami Heat,113,Minnesota Timberwolves,108
Portland Trail Blazers,94,New York Knicks,88
Los Angeles Lakers,84,Orlando Magic,110
Atlanta Hawks,90,Toronto Raptors,79
Seattle SuperSonics,106,Vancouver Grizzlies,92
Los Angeles Lakers,109,New Jersey Nets,84
Portland Trail Blazers,89,Atlanta Hawks,96
Dallas Mavericks,92,Chicago Bulls,94
Seattle SuperSonics,126,Golden State Warriors,89
Minnesota Timberwolves,103,Houston Rockets,112
Vancouver Grizzlies,104,Los Angeles Clippers,110
Sacramento Kings,103,Orlando Magic,114
Milwaukee Bucks,112,Phoenix Suns,117
Cleveland Cavaliers,59,San Antonio Spurs,64
Indiana Pacers,98,Toronto Raptors,84
Portland Trail Blazers,88,Charlotte Hornets,87
Minnesota Timberwolves,102,Denver Nuggets,100
Dallas Mavericks,80,Indiana Pacers,104
Milwaukee Bucks,84,Los Angeles Lakers,106
Sacramento Kings,88,Miami Heat,101
Philadelphia 76ers,105,New Jersey Nets,123
Detroit Pistons,94,New York Knicks,105
Phoenix Suns,109,Seattle SuperSonics,107
Boston Celtics,92,Washington Bullets,105
Los Angeles Clippers,88,Atlanta Hawks,103
Cleveland Cavaliers,89,Houston Rockets,107
Orlando Magic,93,San Antonio Spurs,97
Chicago Bulls,96,Toronto Raptors,83
Los Angeles Lakers,102,Vancouver Grizzlies,98
Indiana Pacers,116,Charlotte Hornets,115
Los Angeles Clippers,85,Detroit Pistons,113
Cleveland Cavaliers,79,Miami Heat,83
New York Knicks,86,New Jersey Nets,92
Boston Celtics,105,Philadelphia 76ers,113
Golden State Warriors,115,Phoenix Suns,122
Vancouver Grizzlies,81,Portland Trail Blazers,115
Minnesota Timberwolves,81,Seattle SuperSonics,92
Milwaukee Bucks,96,Utah Jazz,101
Toronto Raptors,86,Washington Bullets,113
Sacramento Kings,74,Atlanta Hawks,88
New Jersey Nets,101,Chicago Bulls,111
Denver Nuggets,105,Houston Rockets,120
Utah Jazz,115,San Antonio Spurs,102
Dallas Mavericks,87,Washington Bullets,94
Dallas Mavericks,80,Cleveland Cavaliers,84
Milwaukee Bucks,97,Denver Nuggets,99
Philadelphia 76ers,96,Detroit Pistons,92
Minnesota Timberwolves,113,Golden State Warriors,102
Los Angeles Clippers,96,Indiana Pacers,103
New York Knicks,101,Orlando Magic,86
Seattle SuperSonics,106,Phoenix Suns,107
Miami Heat,97,Toronto Raptors,102
