Team1,Team1Score,Team2,Team2Score
Milwaukee Bucks,94,Los Angeles Clippers,102
Los Angeles Lakers,102,Phoenix Suns,88
Golden State Warriors,102,San Antonio Spurs,92
Vancouver Grizzlies,81,Seattle SuperSonics,91
Sacramento Kings,84,Vancouver Grizzlies,83
Atlanta Hawks,63,Cleveland Cavaliers,73
Miami Heat,104,Denver Nuggets,86
Los Angeles Lakers,112,Golden State Warriors,109
Minnesota Timberwolves,93,Houston Rockets,122
Dallas Mavericks,97,Milwaukee Bucks,100
New York Knicks,92,Orlando Magic,88
Sacramento Kings,90,Portland Trail Blazers,92
Seattle SuperSonics,106,Toronto Raptors,98
Detroit Pistons,108,Boston Celtics,83
New York Knicks,86,Charlotte Hornets,93
Utah Jazz,113,Los Angeles Lakers,97
Indiana Pacers,103,Philadelphia 76ers,92
Chicago Bulls,113,Phoenix Suns,99
Los Angeles Clippers,93,San Antonio Spurs,81
Miami Heat,94,Vancouver Grizzlies,75
Seattle SuperSonics,115,Washington Bullets,110
Los Angeles Clippers,94,Dallas Mavericks,105
Chicago Bulls,110,Denver Nuggets,92
New Jersey Nets,88,Detroit Pistons,96
Phoenix Suns,105,Houston Rockets,115
Charlotte Hornets,90,Indiana Pacers,87
Atlanta Hawks,73,Milwaukee Bucks,65
Minnesota Timberwolves,86,Orlando Magic,90
Cleveland Cavaliers,89,Toronto Raptors,81
Golden State Warriors,104,Utah Jazz,109
Seattle SuperSonics,118,Boston Celtics,91
San Antonio Spurs,86,Los Angeles Lakers,96
Miami Heat,111,Sacramento Kings,108
Philadelphia 76ers,76,Washington Bullets,88
Detroit Pistons,85,Charlotte Hornets,93
Houston Rockets,120,Golden State Warriors,115
Orlando Magic,76,Indiana Pacers,73
Washington Bullets,95,Milwaukee Bucks,90
Los Angeles Clippers,96,Minnesota Timberwolves,98
Dallas Mavericks,91,New Jersey Nets,114
New York Knicks,92,Philadelphia 76ers,109
Denver Nuggets,65,Portland Trail Blazers,105
Atlanta Hawks,91,Toronto Raptors,88
Chicago Bulls,100,Utah Jazz,105
Dallas Mavericks,91,Boston Celtics,105
Sacramento Kings,74,Cleveland Cavaliers,103
Houston Rockets,90,Los Angeles Lakers,85
Seattle SuperSonics,102,New York Knicks,92
Miami Heat,87,Phoenix Suns,84
San Antonio Spurs,91,Vancouver Grizzlies,96
Chicago Bulls,88,Los Angeles Clippers,84
Milwaukee Bucks,100,Orlando Magic,88
